chunk_hash,n_lines,risk_score_logged_mean,risk_score_logged_std,model_score_mean,model_score_std,pred_bot_frac
77a4d1223738629bcaac51567278b531c181b0d07ac320c6d0ad840c26744088,4,0.0644905,0.034748980651716006,0.09514623318304846,1.3877787807814457e-17,0.0
77c94de3eed54a9db6132bdf715a16238657ceac5a4717ee2c1f7f4e8244a979,12,0.030744416666666666,0.006475227780596299,0.06413863209664679,1.2552931385097095e-17,0.0
7a0ac8834709d7b5b607e189360da38bb9430fa4fb99ca28ccfdc53ae138f71f,4,0.457415,0.030884775300029844,0.4011954888121958,4.5324665183683945e-17,0.0
7f08a1b680d3484b33dc2eed1dd6f01d1ffbc62973049d98613b3eec99493a5f,16,0.035153,0.0172714401329671,0.056419505754649976,7.809467432050823e-18,0.0
7f88c3b4e36a555dfe98110f0ae6074c86930ffb1cec9ad7e4740ed1db9a8b1c,12,0.039169583333333334,0.014299053696968477,0.05101950460629088,6.6159757481198425e-18,0.0
7fbcbef159be86af387f2420bf15f8183f1b80dbf0eb233f4b2231c62549cee2,4,0.02956,0.023883825935836437,0.11913279904676936,1.1331166295920986e-17,0.0
8119470a271dad416c86fa3f3c2eee28b716ba061b29d0cc72bd34607801e426,12,0.04713725,0.02272534613447765,0.05379227302557917,8.626177001981053e-18,0.0
834ce19b7ef7821077bfc0d7eaec9d4e63978352707c932c6c0f7730f848263f,12,0.04380083333333334,0.02762592210170906,0.05454563609082261,5.535322444970747e-18,0.0
86b15b13d82712ede6b66b58a217c9f7ab4f97e092540ee022e71e2260e1cb01,4,0.3111235,0.016034749026203506,0.3525269133326305,7.166458808248763e-17,0.0
86ef1fadf8bec36530d370070df5766b54515b4e8309aa441e260515d1a46331,12,0.06988858333333334,0.03289209741082702,0.06659704770304763,1.7752525812343193e-17,0.0
880b2d51431e561ebcab6a1e950878363854cc860ae128141e51b1cb367b4e92,4,0.39354849999999997,0.04508701457182545,0.3996901999638386,3.204937810639273e-17,0.0
